,,Navn (Kilde til variasjon),Egnethet til ØG,Kartstatus,Kartformat,Kilder,Kort beskrivelse av produksjon,"Kommentarer (fremtidige muligheter, nye datasett, begrensninger etc.)"
TILSTANDSVARIASJON,7BU,Spor etter bunntråling,X?,,,HI? Fiskeridir,,
TILSTANDSVARIASJON,7EU,Eutrofiering,X,modellering,,NIVA,Vannforekomster,
TILSTANDSVARIASJON,7FA,Fremmedartsinnslag,Uegnet,,Artskart,,,Håndteres som egenskaper for arter
TILSTANDSVARIASJON,7GR,Grøfting,?,kartlegging,,NIBIO?,LIDAR?,
TILSTANDSVARIASJON,7JB,Jord-bruk (aktuell bruk av jord),?,,,NIBIO?,,
TILSTANDSVARIASJON,7MG,Miljøgifter og annen forurensning,X,modellering,,MiljøDIrNILU/Steiness,,
TILSTANDSVARIASJON,7OB,Overbeskatning,Uegnet,,,,Taretråling?,
TILSTANDSVARIASJON,7RA,Rask suksesjon,X?,kartlegging,AR5/hogstklasser,NIBIO?,Tilgjengelig?,
TILSTANDSVARIASJON,7SB,Skog-bruk (bruk av tresatt areal),?,,,NIBIO?,,
TILSTANDSVARIASJON,7SD,Skogbestandsdynamikk,x?,kartlegging,hogstklasser/Naturskog,Ldir/NIBIO,,Må vurderes hva som er tilgjengelig og hva som kan utvikles videre. NB - Naturskog i regi av Ldir.
TILSTANDSVARIASJON,7SE,Spor etter slitasje og slitasjebetinget erosjon,Uegnet?,,,,,
TILSTANDSVARIASJON,7SN,Naturlig bestandsreduksjon på tresatt areal,??,,,,Arealdekkende? Deler kanskje?,
TILSTANDSVARIASJON,7SU,Forsuring,X,modellering,,NILU,,
TILSTANDSVARIASJON,7TK,Spor etter ferdsel med tunge kjøretøy,??,,,flyfoto/satellitt,,
TILSTANDSVARIASJON,7UB,Ubalanse mellom trofiske nivåer,Uegnet,,,,Kråkebolle-tareskog?,
TILSTANDSVARIASJON,7VR,Vassdragsreguleringseffekt,X,tilgjengelig for elver?,,NVE,reguleringsgrad et problem!,
TERRENGFORMVARIASJON,8TH,Terrenghelning,x?,PCA-terreng?/lidar,,,,Må vurderes eksplisitt
TERRENGFORMVARIASJON,8TP,Terrengposisjon,x?,PCA-terreng?/lidar,,,,Må vurderes eksplisitt
TERRENGFORMVARIASJON,8TU,Terrenguro,x?,PCA-terreng?/lidar,,,,Må vurderes eksplisitt
ROMLIG STRUKTURVARIASJON,9VA,Vannflateareal,Relevans?,Finnes allerede,,,,Arealdata av gitte vannforekomster
ROMLIG STRUKTURVARIASJON,9VD,Vanndybde,x?,Marint ok? Ferskvann?,,Kartverket?,,Dybdedata for alle vannforekomster (marint og ferskvann)
Øvrige mulige kartlag,,Kvartærgeologi,,,,,,
Øvrige mulige kartlag,,Historiske kart,,,,,,
Øvrige mulige kartlag,,Inngrepskart,,,,,,
Øvrige mulige kartlag,,Ekstremkart,,,,,,
Øvrige mulige kartlag,,Ortofoto rådata,,,,,,
Øvrige mulige kartlag,,Rådata Landsat,,,,,,
Øvrige mulige kartlag,,Nedbørsdata,,,,,,
